timestamp,resolution,playback_mode,buffer,rsrp,thput
2019-09-21 14:02:23.126,6,1,17.855504,-104,268956
2019-09-21 14:02:24.135,6,1,16.847907,-104,438626
2019-09-21 14:02:25.144,6,1,15.83636,-104,480546
2019-09-21 14:02:26.155,6,1,14.825226,-104,425986
2019-09-21 14:02:27.162,6,1,13.816651,-104,542687
2019-09-21 14:02:28.172,6,1,17.208025,-104,530650
2019-09-21 14:02:29.182,6,1,23.69888,-104,348611
2019-09-21 14:02:30.191,6,1,26.272869,-104,309779
2019-09-21 14:02:31.198,6,1,25.266108,-104,451970
2019-09-21 14:02:32.206,6,1,24.257424,-104,557779
2019-09-21 14:02:33.217,6,1,23.247288,-104,358007
2019-09-21 14:02:34.223,6,1,22.238539,-104,477366
2019-09-21 14:02:35.234,6,1,21.226991,-104,357751
2019-09-21 14:02:36.242,6,1,25.557905,-104,303083
2019-09-21 14:02:37.250,6,1,24.548671,-104,264898
2019-09-21 14:02:38.257,6,1,23.540888,-104,401475
2019-09-21 14:02:39.268,6,1,23.986157,-104,304431
2019-09-21 14:02:40.275,6,1,22.978336,-103.5,432102
2019-09-21 14:02:41.284,6,1,25.851371,-104,385432
2019-09-21 14:02:42.296,6,1,24.840789,-103,259469
2019-09-21 14:02:43.304,6,1,23.831182,-103.5,279962
2019-09-21 14:02:44.316,6,1,22.81809,-103,447201
2019-09-21 14:02:45.323,6,1,21.811076,-103,467303
2019-09-21 14:02:46.331,6,1,26.140579,-103,510880
2019-09-21 14:02:47.337,6,1,25.13431,-103.5,323014
2019-09-21 14:02:48.348,6,1,24.124633,-103,365237
2019-09-21 14:02:49.358,6,1,23.11678,-103,567148
2019-09-21 14:02:50.367,6,1,22.103573,-103,266234
2019-09-21 14:02:51.375,6,1,21.097776,-103,503616
2019-09-21 14:02:52.380,6,1,20.088888,-103,403084
2019-09-21 14:02:53.392,6,1,19.081531,-103,444023
2019-09-21 14:02:54.400,6,1,30.386136,-103,568602
2019-09-21 14:02:55.412,6,1,29.373595,-103,417128
2019-09-21 14:02:56.417,6,1,31.398252,-103,508736
2019-09-21 14:02:57.425,6,1,30.390777,-103,466752
2019-09-21 14:02:58.430,6,1,29.384308,-103,542085
2019-09-21 14:02:59.437,6,1,28.377034,-103,276090
2019-09-21 14:03:00.446,6,1,27.368519,-103,547630
2019-09-21 14:03:01.457,6,1,26.356388,-103,564313
2019-09-21 14:03:02.463,6,1,25.349681,-103,369711
2019-09-21 14:03:03.473,6,1,24.341987,-103,394126
2019-09-21 14:03:04.478,6,1,23.334843,-103,267932
2019-09-21 14:03:05.487,6,1,22.326894,-103,534139
2019-09-21 14:03:06.494,6,1,21.317753,-103,349505
2019-09-21 14:03:07.504,6,1,28.237481,-103,364953
2019-09-21 14:03:08.513,6,1,27.228672,-103,285024
2019-09-21 14:03:09.524,6,1,26.216463,-103,338957
2019-09-21 14:03:10.535,6,1,25.206639,-103,304562
2019-09-21 14:03:11.542,6,1,30.740547,-103,418507
2019-09-21 14:03:12.552,6,1,29.73136,-103,561143
2019-09-21 14:03:13.557,6,1,28.723926,-103,468325
2019-09-21 14:03:14.567,6,1,27.717529,-103,345636
2019-09-21 14:03:15.575,6,1,26.706674,-103,318960
2019-09-21 14:03:16.589,6,1,25.691275,-103,458380
2019-09-21 14:03:17.598,6,1,24.68468,-103,425689
2019-09-21 14:03:18.606,6,1,23.674463,-103,572578
2019-09-21 14:03:19.618,6,1,22.663499,-103,436549
2019-09-21 14:03:20.633,6,1,21.652693,-103,472329
2019-09-21 14:03:21.639,6,1,20.639101,-103,471789
2019-09-21 14:03:22.648,6,1,25.09651,-103,368661
2019-09-21 14:03:23.657,6,1,24.086152,-103,377224
2019-09-21 14:03:24.667,6,1,23.075267,-103,448433
